route_id,stop_order,segment_id,segment_label,zone,planned_at_kst,forecast_at_kst,target_at_kst,predicted_travel_time_sec,baseline_travel_time_sec,expected_delay_sec,observed_speed_kmh,observed_traffic_state,risk_grade,risk_basis,exposure_proxy,model_status,confidence_or_warning,source_updated_at_kst,matched
,,djtram-z01-ae5876728c09,계족로 상행(법동영진아파트삼거리),1,,2026-07-15T00:51:48+09:00,,,,,17.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-b199e8cb7b67,계족로 하행(법동영진아파트삼거리),1,,2026-07-15T00:51:48+09:00,,,,,28.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-9c175d9bbb69,계족로 상행(법동영진아파트삼거리),1,,2026-07-15T00:51:48+09:00,,,,,46.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-2475bde4126f,계족로 상행(읍내삼거리),1,,2026-07-15T00:51:48+09:00,,,,,46.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-d9d62f55a5ed,계족로 하행(법동영진아파트삼거리),1,,2026-07-15T00:51:48+09:00,,,,,39.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-33c91c040219,계족로 하행(읍내삼거리),1,,2026-07-15T00:51:48+09:00,,,,,39.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-a228cf399455,신탄진로 상행(읍내삼거리 에서 대한통운),1,,2026-07-15T00:51:48+09:00,,,,,49.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-15badcfe4395,신탄진로 상행(대한통운 에서 신대과도교),1,,2026-07-15T00:51:48+09:00,,,,,41.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z01-d3fec30ff04a,신탄진로 상행(신대과도교 에서 신대과도교),1,,2026-07-15T00:51:48+09:00,,,,,47.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-e831632536b6,계백로 상행(유등교네거리 에서 버드내네거리),12,,2026-07-15T00:51:48+09:00,,,,,27.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-7778e1c132df,계백로 하행(버드내네거리 에서 유등교네거리),12,,2026-07-15T00:51:48+09:00,,,,,20.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-b98e2036a9c6,계백로 상행(버드내네거리),12,,2026-07-15T00:51:48+09:00,,,,,39.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-3fea9815c7bf,계백로 상행(유천예식장네거리),12,,2026-07-15T00:51:48+09:00,,,,,46.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-0cf184d27819,계백로 하행(버드내네거리),12,,2026-07-15T00:51:48+09:00,,,,,38.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-315d892b83e1,계백로 하행(유천예식장네거리),12,,2026-07-15T00:51:48+09:00,,,,,42.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-a1b5c422027c,계백로 상행(유천예식장네거리 에서 유천네거리),12,,2026-07-15T00:51:48+09:00,,,,,46.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-b66228e98c08,계백로 하행(유천네거리 에서 유천예식장네거리),12,,2026-07-15T00:51:48+09:00,,,,,42.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-4ba25bcca452,충무로 하행(보문산공원오거리 에서 한밭종합운동장),12,,2026-07-15T00:51:48+09:00,,,,,31.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-5d32f2c7d9a4,충무로 하행(한밭종합운동장 에서 충무네거리),12,,2026-07-15T00:51:48+09:00,,,,,31.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-050f67a5fa56,충무로 상행(한밭종합운동장 에서 보문산공원오거리),12,,2026-07-15T00:51:48+09:00,,,,,21.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-ba0eea267e8b,충무로 상행(충무네거리 에서 한밭종합운동장),12,,2026-07-15T00:51:48+09:00,,,,,21.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-a1ca3eb69115,충무로 하행(충무네거리 에서 문창초교네거리),12,,2026-07-15T00:51:48+09:00,,,,,14.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-7b9a8ecf09f6,충무로 상행(문창초교네거리 에서 충무네거리),12,,2026-07-15T00:51:48+09:00,,,,,18.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-c9f54ff32053,계룡로 하행(서대전우체국네거리 에서 대사네거리),12,,2026-07-15T00:51:48+09:00,,,,,21.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-886c0f8196f1,계룡로 상행(대사네거리 에서 서대전우체국네거리),12,,2026-07-15T00:51:48+09:00,,,,,22.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-47aa73bee8df,계백로 하행(유천네거리),12,,2026-07-15T00:51:48+09:00,,,,,35.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-f21755a3944d,계백로 하행(현대남촌아파트삼거리),12,,2026-07-15T00:51:48+09:00,,,,,27.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-bc4cfd281152,계백로 하행(현대남촌아파트삼거리),12,,2026-07-15T00:51:48+09:00,,,,,16.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-4b979e77cec3,계백로 하행(서대전역네거리),12,,2026-07-15T00:51:48+09:00,,,,,35.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-884baecb75c0,계백로 상행(유천네거리),12,,2026-07-15T00:51:48+09:00,,,,,30.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-96102dd950b4,계백로 상행(현대남촌아파트삼거리),12,,2026-07-15T00:51:48+09:00,,,,,21.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-01d870cb68f3,계백로 상행(현대남촌아파트삼거리),12,,2026-07-15T00:51:48+09:00,,,,,15.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-517b6a934e1f,계백로 상행(서대전역네거리),12,,2026-07-15T00:51:48+09:00,,,,,30.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-58593bc6f2cc,계백로 상행(서대전역네거리),12,,2026-07-15T00:51:48+09:00,,,,,19.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-54cbf9f9297c,계백로 상행,12,,2026-07-15T00:51:48+09:00,,,,,19.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-ff55812e319a,계백로 하행(서대전역네거리),12,,2026-07-15T00:51:48+09:00,,,,,36.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-2f5007477856,계백로 하행,12,,2026-07-15T00:51:48+09:00,,,,,36.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-24aa3a22f67a,계룡로 하행(서대전네거리 에서 서대전우체국네거리),12,,2026-07-15T00:51:48+09:00,,,,,31.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-c4c0000bfdc5,계룡로 상행(서대전우체국네거리 에서 서대전네거리),12,,2026-07-15T00:51:48+09:00,,,,,20.0,지체,medium,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-2c372e7ba46b,광장9길 상행(충대병원네거리 에서 서대전우체국네거리),12,,2026-07-15T00:51:48+09:00,,,,,8.0,정체,high,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
,,djtram-z12-381c8c9afdd7,광장9길 하행(서대전우체국네거리 에서 충대병원네거리),12,,2026-07-15T00:51:48+09:00,,,,,29.0,원활,low,official_current_traffic_state,,insufficient_data,예측 아님: 공식 트램 페이지의 현재 교통상태를 그대로 분류,2026-07-15T00:51:48+09:00,
